Year,Location,White,Black,Hispanic,Asian/Native Hawaiian and Pacific Islander,American IndiaNAlaska Native,Multiple Races,Total
2017,Tennessee,593700,260100,85500,13800,2900,27900,983900
2017,Texas,983800,607300,2237600,132200,12400,65700,4039000
2017,Utah,190400,6500,66800,13200,7800,7500,292100
2017,Vermont,60200,NA,NA,NA,NA,NA,66700
2017,Virginia,411700,271200,93500,36400,NA,37900,852400
2017,Washington,437500,49600,193200,63700,19900,46800,810800
2017,West Virginia,299300,19600,5400,NA,NA,8200,336500
2017,Wisconsin,380900,95700,78400,23900,11600,25200,615600
2017,Wyoming,48000,NA,12000,NA,3400,NA,66500
2017,Puerto Rico,7100,NA,1461600,NA,NA,NA,1471100
2016,Alabama,376200,349400,62000,6900,2700,20400,817600
2016,Alaska,30000,NA,8500,NA,29400,5100,75500
2016,Arizona,411400,56900,496100,30700,96000,24200,1115400
2016,Arkansas,291200,127100,53600,6100,4500,16400,498800
2016,California,1387700,461000,2857400,631000,27500,164700,5529200
2016,Colorado,300500,39400,197500,20300,5500,20000,583200
2016,Connecticut,135100,61800,105700,14800,NA,10500,328200
2016,Delaware,46300,28900,24400,3200,NA,4400,1.08E+05
2016,District of Columbia,17600,84700,15500,3300,NA,NA,122700
2016,Florida,1164200,693800,959900,67800,8200,85800,2979700
2016,Georgia,571800,687000,225500,47700,4300,45000,1581400
2016,Hawaii,23600,NA,15300,64100,NA,17700,122600
2016,Idaho,172900,NA,49100,NA,4600,6500,237000
2016,Illinois,687100,460400,357500,73300,1700,44500,1624500
2016,Indiana,568600,162700,105200,30800,2700,30300,900400
2016,Iowa,251600,28700,41600,11100,NA,9900,346000
2016,Kansas,214300,43300,60000,8900,2600,11800,340800
2016,Kentucky,613400,107100,47100,9700,NA,19700,799200
2016,Louisiana,337700,489200,53400,12900,7300,19000,919500
2016,Maine,145000,9800,2600,NA,NA,5800,168000
2016,Maryland,206200,219200,72900,28300,NA,21200,548600
2016,Massachusetts,320100,83200,198000,59300,1800,27300,689700
2016,Michigan,834200,379400,107800,57000,7800,57300,1443600
2016,Minnesota,310900,87400,53200,37100,15400,26500,530400
2016,Mississippi,213000,346000,21200,2700,5400,10600,599000
2016,Missouri,554500,153200,56100,18300,5300,34100,821600
2016,Montana,104800,NA,5100,NA,14900,5800,132600
2016,Nebraska,128000,22900,48200,8500,3900,NA,216400
2016,Nevada,136500,51500,155900,27700,7800,12900,392300
2016,New Hampshire,74300,NA,6700,NA,NA,4700,89600
2016,New Jersey,314400,187000,322100,53600,2200,22600,902000
2016,New Mexico,95200,7100,238100,NA,56700,7100,407000
2016,New York,1023000,559700,891700,275100,9100,86600,2845300
2016,North Carolina,685900,504500,251600,30900,24500,47100,1544500
2016,North Dakota,52400,NA,6100,NA,15900,NA,84300
2016,Ohio,988800,418000,104400,35100,4000,76600,1626800
2016,Oklahoma,306900,75100,101500,12400,62800,54300,612900
2016,Oregon,339800,18000,117900,27200,9200,26400,538500
2016,Pennsylvania,891900,335400,245200,54300,5700,51000,1583500
2016,Rhode Island,70300,11600,35500,3700,NA,7600,129200
2016,South Carolina,310100,312400,69000,8100,NA,28800,730000
2016,South Dakota,56300,NA,9400,NA,40400,5600,115000
2016,Tennessee,602000,276500,96900,12300,NA,25500,1015200
2016,Texas,1028200,636100,2374200,137800,8300,71600,4256100
2016,Utah,194000,11500,74300,14300,8300,9100,311400
2016,Vermont,61900,NA,NA,NA,NA,NA,67000
2016,Virginia,432300,272000,112200,37600,1700,40000,895900
2016,Washington,454600,53600,172900,59800,18700,51200,810800
2016,West Virginia,290600,14900,6500,NA,NA,10400,325700
2016,Wisconsin,405000,104700,90800,28900,12400,21200,663000
2016,Wyoming,50400,NA,9800,NA,2800,NA,66900
2016,Puerto Rico,13300,NA,1473700,NA,NA,1700,1489800
2015,Alabama,415800,383800,64700,7000,NA,20000,893600
2015,Alaska,33000,NA,NA,NA,22900,5900,73100
2015,Arizona,422200,64200,521700,27300,96200,22300,1153900
2015,Arkansas,306700,148700,75100,8700,4100,16100,559400
2015,California,1467400,468900,3126000,632900,25300,158600,5879000
2015,Colorado,300500,39100,222200,28100,4000,20900,614700
2015,Connecticut,137700,64000,136200,9300,NA,9700,357100
2015,Delaware,46100,43600,24900,3400,NA,6200,1.24E+05
2015,District of Columbia,15500,75400,8700,2600,NA,NA,104400
2015,Florida,1212500,753800,1006200,66500,5200,65800,3110100
2015,Georgia,597800,761000,250200,40200,NA,40400,1694000
2015,Hawaii,29900,NA,23400,64500,NA,27600,148500
2015,Idaho,172500,NA,40500,NA,4100,6800,228500
2015,Illinois,679200,498600,427400,76700,NA,41100,1724500
2015,Indiana,617000,171700,116100,24200,NA,35400,967000
2015,Iowa,273900,33900,52600,17500,3200,8000,389000
2015,Kansas,216200,41500,68200,13400,4200,21000,364600
2015,Kentucky,608100,96800,42400,8700,NA,21800,779900
2015,Louisiana,339000,456000,53800,11200,4500,15200,879700
2015,Maine,144800,6700,4200,NA,1600,7100,166500
